Unnamed: 0,Block_name,Treatment,Date,Site,Ranch,Year,Low.reading_mean,Low.reading_sd,High.reading_mean,High.reading_sd,Low.rounded_5_mean,Low.rounded_5_sd,Low.rounded_10_mean,Low.rounded_10_sd,High.rounded_5_mean,High.rounded_5_sd,High.rounded_10_mean,High.rounded_10_sd,Sample_ID_vor,mean_biomass,sd_biomass,Sample_ID_bio,X_coord,Y_coord,ID,Block_Id,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
1,1,AD,2023-09-15,OK,CR,2023,33.1034482758621,15.1004844472577,65.1379310344828,18.0470103141985,34.6551724137931,15.5799226618037,36.8965517241379,15.8347376440583,66.8965517241379,17.3418256321576,68.2758620689655,16.4900328157954,2023-09-15_OK_CR_AD_1,1299.6,734.276242295773,2023-09-15_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6404320671766693,10.795332865859194,0.3271653218309791,0.2842150310753454,0.396524764896803,0.4114295715917668,39.21968965142033,0.34543806116940456,0.5911071494553183,0.5916823312907391,0.0017349682317559117,0.08159620178764031,0.413731527229563,0.36167583057186575,0.16762825012895574,-0.1748736001012412,140.6629698747224,161.18234673599184,101.4855101472059,185.19801561981075,98.93598247144361,91.3335777372825,346.56279924029496,669.4077475151556,675.9873379737707,3081.9906524248013,2619.1980032798456,1331.2726406367806
2,1,AD,2023-08-17,OK,CR,2023,32.7777777777778,16.2204366187401,61.4074074074074,17.7553009619863,34.4444444444444,16.3102924874338,36.2962962962963,17.1303033670538,62.5925925925926,17.9941427633876,64.8148148148148,17.8391036275262,2023-08-17_OK_CR_AD_1,2793.76,1377.72033736895,2023-08-17_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6710257706215963,10.06739677867336,0.3458257540203847,0.2880806130412911,0.45823447141931994,0.45775567540458395,43.34235609491592,0.4117542315073805,0.562762945471267,0.5915801087187829,-0.01382601311484888,0.13760455674703825,0.4719936689393126,0.3876275199355352,0.1975843717399515,-0.1658891120586392,135.67587067189328,161.35820790307312,94.22735789139936,193.3561180233944,91.90020599251348,84.70723265925936,362.8946228082441,734.9570998111558,680.7290088079408,3481.3862956890453,2639.6177140538143,1290.6014551591393
4,1,AD,2023-06-22,OK,CR,2023,13.9259259259259,15.7331739815195,56.3703703703704,28.2790329343792,15.7407407407407,16.3321122864708,16.6666666666667,16.1721508012528,57.962962962963,27.7093173464499,59.2592592592593,27.3053849191702,2023-06-22_OK_CR_AD_1,2133.92,1863.55096308097,2023-06-22_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6429144213708456,10.210210886537626,0.3130981550305628,0.2840115046775576,0.39997061042996174,0.43775382232820065,41.51404655821411,0.39519425389412427,0.559639990072642,0.5861701487914612,-0.009271391176069043,0.10651852776077511,0.45301237720198195,0.39187896421207874,0.1867934329573942,-0.17829176123631435,136.07551299373733,161.60006919783618,97.79431489383174,192.82571888169988,95.66978156788463,88.31664328336322,383.3855303740445,763.224855071172,713.8827316603192,3404.833305563314,2707.319900127433,1425.4655885102345
6,1,AD,2023-07-20,OK,CR,2023,26.8,18.6721256385573,54.4,23.8524198150729,28.5,18.8528786789381,30.3333333333333,18.8429687486969,55.8333333333333,23.5651457019477,58.0,23.6934444592767,2023-07-20_OK_CR_AD_1,1974.93333333333,724.333344991563,2023-07-20_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6846022256727564,9.18233120316117,0.3268476080752143,0.2993952181572673,0.4248355343948327,0.4558497451287683,43.255682994321866,0.4075085463677847,0.5747681051054586,0.6214854189052844,-0.0249291542337378,0.11772431446963229,0.47757622410316447,0.3784407173147427,0.19018490637717286,-0.17474346812066793,138.60125532766747,166.9353578187063,96.9490228962468,199.41629243125135,94.47110952478612,86.84610759059181,369.2863891591086,712.6821158515729,623.9794018720834,3357.805255948364,2651.951934873752,1353.6983785604975
9,1,AD,2023-05-25,OK,CR,2023,45.2608695652174,16.1701672316768,68.8260869565217,15.7123349746539,47.3913043478261,16.2976270733302,50.0,17.0560573084488,70.4347826086957,14.7642876469988,72.1739130434783,14.1281542702153,2023-05-25_OK_CR_AD_1,1705.0,805.429882733438,2023-05-25_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.7944558290032273,6.323264017537536,0.38027301172585215,0.2936423120925597,0.5985134443440835,0.5557418252580183,52.55924006326746,0.5409807655758572,0.5162490912669142,0.660491056527638,-0.06410972063709729,0.2821686881092079,0.6051742933177056,0.3772329004926796,0.25124412865946066,-0.11832385526239998,131.30201623007912,173.0901892608845,84.30851045834743,218.36606020824448,82.01151459599812,74.83993513324222,300.7865561704047,700.2085368090508,448.3216128929856,3932.2549840384804,2200.9614861410746,985.6308655099023
10,1,AD,2023-10-12,OK,CR,2023,28.1153846153846,11.1151317511829,68.2692307692308,15.7722736276231,30.3846153846154,11.0383945320936,32.3076923076923,12.1021295011059,70.0,15.8113883008419,71.9230769230769,15.2365956221804,2023-10-12_OK_CR_AD_1,1023.92,156.235565733286,2023-10-12_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6700248126030052,9.538533279676672,0.3178481515097296,0.27505852194590513,0.40509664634832726,0.4074016493054685,39.12641022816247,0.3372321719282515,0.5834269871350103,0.6106998605995894,-0.01734208132056026,0.10045190193373583,0.4134649650179145,0.3275143345804595,0.1585005530632673,-0.15611214979271026,142.70904940179435,166.8220971571058,104.27879668544843,193.49143659556387,101.56143341813748,93.12242748662767,320.63994307141735,614.706411674546,563.6049416136918,2850.135098549513,2330.650218186727,1208.6349173886904
11,1,AD,2023-04-20,OK,CR,2023,20.0,13.7334881094416,35.4583333333333,19.6446234854236,22.5,13.5132784938435,24.5833333333333,13.1807391317016,37.0833333333333,19.6112582277467,39.1666666666667,19.9818758458469,2023-04-20_OK_CR_AD_1,1090.66666666667,1048.35962277582,2023-04-20_OK_CR_AD_1,-97.236882948,33.935235126,1_AD_2023,1_AD,0.6282921573802094,9.88132698130512,0.277711182214708,0.2750037742603911,0.34194006525994286,0.40374148950045546,38.46441707233526,0.35084747431180735,0.54781007799005,0.5851166435283546,-0.024147854115481714,0.0724546063949556,0.42439365312145183,0.3718921028591419,0.1573015449756712,-0.18416847363554392,141.1284115797353,167.89874514576314,104.53959602940853,198.06062790267646,102.07773720733971,93.55399586774246,447.64511520052304,770.9569690964281,696.0656014483046,3051.374080328166,2642.2614689971647,1498.7418286343861
17,1,PR,2023-04-19,OK,CR,2023,15.1,5.47942861355402,24.2333333333333,13.289050025292,16.8333333333333,5.49032587019382,19.3333333333333,5.83292280985675,25.8333333333333,13.5241376379633,28.0,13.4932933532641,2023-04-19_OK_CR_PR_1,689.733333333333,394.031118906447,2023-04-19_OK_CR_PR_1,-97.2259055488889,33.9314684488889,1_PR_2023,1_PR,0.6638660727231096,9.144579177591451,0.29545916444625875,0.27871971686651537,0.3914668367649483,0.43142009466283154,41.047508573713266,0.3816561667703841,0.5467436552599542,0.6014477945834853,-0.03131854432447959,0.11218804288700639,0.45635155995574567,0.36817806475619497,0.17310933328381242,-0.1708977535730438,140.09661155686493,169.22053852901186,100.91750288780878,201.40180834024028,98.39567001083125,90.11443905133635,413.95981226815167,740.9186971860627,638.0089657345898,3176.913470345384,2538.225730300494,1389.017670354553
19,1,PR,2023-10-12,OK,CR,2023,18.1,8.31015166466023,65.3333333333333,14.6624863426066,19.8333333333333,8.55845350730969,22.0,8.46901044579793,66.8333333333333,14.6501343605309,69.0,14.7039755356068,2023-10-12_OK_CR_PR_1,1786.26666666667,1163.29712570206,2023-10-12_OK_CR_PR_1,-97.2259055488889,33.9314684488889,1_PR_2023,1_PR,0.5153039297717649,12.536375749419838,0.24339732377068787,0.27438574716919917,0.1358575526814623,0.2769582613948408,27.225934776260544,0.19346029348603153,0.6363427215507553,0.5926198523443996,0.041530231398745954,-0.11129286449997246,0.2687957763088511,0.3099179875377639,0.0886678545216487,-0.21032634327228134,154.86189563367913,165.18586809707173,126.11272546152539,175.65663024248013,123.277815118209,114.90966040715797,370.82034665438545,586.3892718144393,673.7060281427439,2111.7734411514048,2640.7075779511233,1607.1178005762042
20,1,PR,2023-09-15,OK,CR,2023,15.2592592592593,8.15047234399329,35.9259259259259,7.48293404984315,16.4814814814815,8.52764901486909,18.1481481481481,9.62250448649376,37.962962962963,7.87635937708768,40.3703703703704,8.54016820293798,2023-09-15_OK_CR_PR_1,1791.26666666667,854.545471386202,2023-09-15_OK_CR_PR_1,-97.2259055488889,33.9314684488889,1_PR_2023,1_PR,0.4504335722503888,16.028395291192187,0.2682919456426721,0.2539334509313659,0.18340691783594124,0.27341461594898175,26.30725538310194,0.19213075316959488,0.593913116906816,0.5180547554800897,0.07329266919014406,-0.08910110405317652,0.26330025910058785,0.3684974431067228,0.09763437647555151,-0.22003283668316825,147.70919435544937,153.82343288908837,119.49249880764012,161.1611364822121,117.20238591482297,110.41496907876338,476.2572588538286,753.5154152947146,948.3616224571506,2493.6863550053095,2965.6838598515137,1703.792570266417
22,1,PR,2023-08-16,OK,CR,2023,42.6086956521739,17.6602767671991,78.9565217391304,18.6534867831717,44.7826086956522,17.8680937624459,46.9565217391304,18.4476612483425,79.3478260869565,18.1097881510931,79.5652173913043,17.7042010601401,2023-08-16_OK_CR_PR_1,2811.26666666667,1133.31718184569,2023-08-16_OK_CR_PR_1,-97.2259055488889,33.9314684488889,1_PR_2023,1_PR,0.5987418347437001,12.562473124913907,0.334307839727034,0.2755501178427082,0.3965343203467896,0.4031437826438473,38.21443344660916,0.3404065863037898,0.5751510973653402,0.5533222629164353,0.022886413196070973,0.07525336200180416,0.39943109835549684,0.3943445637041864,0.17046786326728358,-0.1860899348474393,135.94829056109702,153.6690953799999,99.08138651556544,177.22095854804962,96.95033944355765,90.21162016280496,378.80810953630714,759.0225771275478,829.125983160217,3269.0059668052604,2838.4207505900813,1428.5079963917374
23,1,PR,2023-07-20,OK,CR,2023,54.5263157894737,9.44791817781763,83.9473684210526,11.5685093835258,56.3157894736842,9.40480156078058,57.8947368421053,9.76328005472037,84.4736842105263,10.787690624311,85.2631578947368,9.64274111134126,2023-07-20_OK_CR_PR_1,2675.13333333333,509.781469520683,2023-07-20_OK_CR_PR_1,-97.2259055488889,33.9314684488889,1_PR_2023,1_PR,0.8286588390801636,5.536460152558027,0.4194216596852253,0.2874107433946634,0.6585515244201301,0.5728821282877106,54.182553214146076,0.5527428089565637,0.5101462594156253,0.685544428993032,-0.06963383241578437,0.33002853238937185,0.6224238050667528,0.35627815708147625,0.258690088135854,-0.09569506176703155,130.97095194922244,174.63886653138516,82.65967175481066,219.64216864544233,80.28797411155698,73.16581899237349,249.98500371391407,638.1556305975416,365.85944930795483,3909.3636484425956,1967.7970515285988,803.987382055623
